,cik,exchange,irs,name,sic,ticker,file
0,1099290,NASDAQ,593404233,Sinocoking Coal & Coke Chemical Industries Inc,3312,AAC,https://www.sec.gov/Archives/edgar/data/1099290/000114420417037280/0001144204-17-037280.txt
1,6201,NASDAQ,751825172,American Airlines Group Inc,4512,AAL,https://www.sec.gov/Archives/edgar/data/6201/000000620119000009/0000006201-19-000009.txt
2,8177,NASDAQ,581027114,Atlantic American Corp,6311,AAME,https://www.sec.gov/Archives/edgar/data/8177/000114036119006219/0001140361-19-006219.txt
3,1158114,NASDAQ,760533927,Applied Optoelectronics Inc,3674,AAOI,https://www.sec.gov/Archives/edgar/data/1158114/000155837019001078/0001558370-19-001078.txt
4,320193,NASDAQ,942404110,Apple Inc,3571,AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119.txt
5,881890,NASDAQ,770213001,Abaxis Inc,3829,ABAX,https://www.sec.gov/Archives/edgar/data/881890/000114036118034234/0001140361-18-034234.txt
6,351569,NASDAQ,581456434,Ameris Bancorp,6022,ABCB,https://www.sec.gov/Archives/edgar/data/351569/000035156919000006/0000351569-19-000006.txt
7,1466815,NASDAQ,270587428,Cambium Learning Group Inc,2741,ABCD,https://www.sec.gov/Archives/edgar/data/1466815/000146681518000016/0001466815-18-000016.txt
8,894405,NASDAQ,710673405,Arkansas Best Corp,4213,ABFS,https://www.sec.gov/Archives/edgar/data/894405/000155837019001332/0001558370-19-001332.txt
9,1409012,NASDAQ,300431735,Abraxis Bioscience Inc,2834,ABII,https://www.sec.gov/Archives/edgar/data/1409012/000119312510093431/0001193125-10-093431.txt
10,874501,NASDAQ,133621676,Ambac Financial Group Inc,6351,ABK,https://www.sec.gov/Archives/edgar/data/874501/000087450119000023/0000874501-19-000023.txt
11,815094,NASDAQ,42743260,Abiomed Inc,3841,ABMD,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/0001564590-19-020329.txt
12,1023364,NASDAQ,330711569,Autobytel Inc,7370,ABTL,https://www.sec.gov/Archives/edgar/data/1023364/000165495419002504/0001654954-19-002504.txt
13,1070494,NASDAQ,61376651,Acadia Pharmaceuticals Inc,2834,ACAD,https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/0001564590-19-004596.txt
14,817473,NASDAQ,521451377,American Capital LTD,,ACAS,https://www.sec.gov/Archives/edgar/data/817473/000081747316000082/0000817473-16-000082.txt
